stateEstimate.x_x,stateEstimate.x_y,stateEstimate.y_x,stateEstimate.y_y,stateEstimate.z_x,stateEstimate.z_y,stateEstimate.roll_x,stateEstimate.roll_y,stateEstimate.pitch_x,stateEstimate.pitch_y,stateEstimate.yaw_x,stateEstimate.yaw_y
1024444.,0.085,1024444.,0.2329,1024444.,0.0141,1024444.,0.1593,1024444.,0.0212,1024444.,-0.6130
1024484.,0.0846,1024484.,0.2335,1024484.,0.0142,1024484.,0.1064,1024484.,0.0246,1024484.,-0.6096
1024524.,0.0853,1024524.,0.2336,1024524.,0.0137,1024524.,0.1369,1024524.,0.0117,1024524.,-0.5852
1024564.,0.0846,1024564.,0.2345,1024564.,0.0124,1024564.,0.1341,1024564.,0.0047,1024564.,-0.5510
1024604.,0.0840,1024604.,0.2351,1024604.,0.0125,1024604.,0.1002,1024604.,0.0035,1024604.,-0.5429
1024644.,0.0835,1024644.,0.2369,1024644.,0.0118,1024644.,0.0711,1024644.,-0.0136,1024644.,-0.5088
1024684.,0.0851,1024684.,0.2350,1024684.,0.0119,1024684.,0.0780,1024684.,-0.0206,1024684.,-0.558
1024724.,0.086,1024724.,0.2341,1024724.,0.0124,1024724.,0.1113,1024724.,0.0025,1024724.,-0.5622
1024764.,0.0866,1024764.,0.2347,1024764.,0.012,1024764.,0.1079,1024764.,-0.0079,1024764.,-0.54
1024804.,0.0866,1024804.,0.2339,1024804.,0.0120,1024804.,0.1619,1024804.,-0.0080,1024804.,-0.5304
1024844.,0.0869,1024844.,0.2345,1024844.,0.0122,1024844.,0.1204,1024844.,-0.0077,1024844.,-0.5327
1024884.,0.0868,1024884.,0.2348,1024884.,0.0122,1024884.,0.1044,1024884.,-0.0144,1024884.,-0.5214
1024924.,0.0873,1024924.,0.2354,1024924.,0.0132,1024924.,0.0632,1024924.,0.0366,1024924.,-0.5236
1024964.,0.088,1024964.,0.2346,1024964.,0.0122,1024964.,0.0706,1024964.,0.0313,1024964.,-0.5402
1025004.,0.0877,1025004.,0.2348,1025004.,0.0114,1025004.,0.0649,1025004.,0.0322,1025004.,-0.536
1025044.,0.0871,1025044.,0.2341,1025044.,0.0104,1025044.,0.0813,1025044.,0.0387,1025044.,-0.5256
1025084.,0.0857,1025084.,0.2342,1025084.,0.0113,1025084.,0.0749,1025084.,0.0642,1025084.,-0.5365
1025124.,0.0869,1025124.,0.2354,1025124.,0.0116,1025124.,0.0631,1025124.,0.0419,1025124.,-0.5161
1025164.,0.0891,1025164.,0.2324,1025164.,0.0119,1025164.,0.1396,1025164.,-0.0015,1025164.,-0.5384
1025204.,0.0933,1025204.,0.2332,1025204.,0.0122,1025204.,0.0515,1025204.,-0.1171,1025204.,-0.5579
1025244.,0.0923,1025244.,0.2324,1025244.,0.0129,1025244.,0.0502,1025244.,-0.0626,1025244.,-0.5813
1025284.,0.0914,1025284.,0.2291,1025284.,0.0124,1025284.,0.1188,1025284.,-0.0055,1025284.,-0.6163
1025324.,0.0925,1025324.,0.2314,1025324.,0.0119,1025324.,0.0654,1025324.,-0.0467,1025324.,-0.5944
1025364.,0.0935,1025364.,0.2325,1025364.,0.0121,1025364.,0.0343,1025364.,-0.0418,1025364.,-0.5873
1025404.,0.0941,1025404.,0.231,1025404.,0.0114,1025404.,0.0495,1025404.,-0.0317,1025404.,-0.6056
1025444.,0.0941,1025444.,0.2304,1025444.,0.0118,1025444.,0.0223,1025444.,-0.0046,1025444.,-0.6313
1025484.,0.0938,1025484.,0.2292,1025484.,0.0106,1025484.,0.0954,1025484.,-0.0054,1025484.,-0.6104
1025524.,0.0951,1025524.,0.2289,1025524.,0.0099,1025524.,0.0723,1025524.,-0.0158,1025524.,-0.6221
1025564.,0.0988,1025564.,0.2306,1025564.,0.0098,1025564.,0.0213,1025564.,-0.1040,1025564.,-0.5964
1025604.,0.1012,1025604.,0.2291,1025604.,0.0106,1025604.,0.0646,1025604.,-0.1449,1025604.,-0.6007
1025644.,0.1003,1025644.,0.2294,1025644.,0.0109,1025644.,0.0685,1025644.,-0.0807,1025644.,-0.6056
1025684.,0.0995,1025684.,0.2312,1025684.,0.0106,1025684.,0.0172,1025684.,-0.0226,1025684.,-0.5929
1025724.,0.1019,1025724.,0.2289,1025724.,0.0107,1025724.,0.0577,1025724.,-0.1257,1025724.,-0.642
1025764.,0.1022,1025764.,0.2308,1025764.,0.0105,1025764.,0.0343,1025764.,-0.0793,1025764.,-0.6075
1025804.,0.1034,1025804.,0.2324,1025804.,0.0103,1025804.,0.0121,1025804.,-0.0763,1025804.,-0.5729
1025844.,0.1031,1025844.,0.2312,1025844.,0.0107,1025844.,0.0276,1025844.,-0.0221,1025844.,-0.6203
1025884.,0.1021,1025884.,0.2309,1025884.,0.0101,1025884.,0.0863,1025884.,0.0121,1025884.,-0.5719
1025924.,0.1035,1025924.,0.2333,1025924.,0.0096,1025924.,0.0104,1025924.,-0.0353,1025924.,-0.5536
1025964.,0.1017,1025964.,0.2305,1025964.,0.0103,1025964.,0.1487,1025964.,0.0438,1025964.,-0.5259
1026004.,0.1023,1026004.,0.2297,1026004.,0.0103,1026004.,0.1724,1026004.,0.0416,1026004.,-0.5252
1026044.,0.1044,1026044.,0.2300,1026044.,0.0107,1026044.,0.1041,1026044.,0.0134,1026044.,-0.561
1026084.,0.1032,1026084.,0.2303,1026084.,0.011,1026084.,0.1313,1026084.,0.032,1026084.,-0.5176
1026124.,0.1010,1026124.,0.2312,1026124.,0.0108,1026124.,0.1171,1026124.,0.0694,1026124.,-0.4886
1026164.,0.1014,1026164.,0.2316,1026164.,0.0106,1026164.,0.1106,1026164.,0.0355,1026164.,-0.4702
1026204.,0.1026,1026204.,0.2326,1026204.,0.0108,1026204.,0.0408,1026204.,0.0044,1026204.,-0.4951
1026244.,0.1040,1026244.,0.2295,1026244.,0.0111,1026244.,0.0905,1026244.,-0.0082,1026244.,-0.5865
1026284.,0.1047,1026284.,0.2276,1026284.,0.0113,1026284.,0.0976,1026284.,-0.0064,1026284.,-0.6528
